episode,timestep,reward
1524,148400,-26.7
1526,148600,-28.0
1528,148800,-32.3
1530,149000,-25.4
1532,149200,-26.05
1534,149400,-20.2
1536,149600,-34.5
1538,149800,-31.25
1540,150000,-33.2
1542,150200,-36.45
1544,150400,-29.3
1547,150600,-20.7333
1549,150800,-10.95
1551,151000,-22.15
1553,151200,-29.3
1555,151400,-27.35
1557,151600,-20.85
1559,151800,-20.2
1561,152000,-30.6
1563,152200,-25.5
1565,152400,-26.05
1567,152600,-39.05
1569,152800,-24.1
1571,153000,-24.1
1573,153200,-28.65
1575,153400,-31.25
1577,153600,-24.1
1579,153800,-24.75
1581,154000,-29.95
1583,154200,-21.5
1585,154400,-29.95
1587,154600,-22.8
1589,154800,-30.6
1591,155000,-24.75
1593,155200,-19.15
1595,155400,-29.95
1597,155600,-38.4
1599,155800,-28.65
1601,156000,-29.95
1603,156200,-31.9
1605,156400,-25.4
1607,156600,-22.8
1609,156800,-26.05
1611,157000,-29.3
1613,157200,-31.25
1615,157400,-30.6
1617,157600,-28.0
1620,157800,-26.8
1622,158000,-24.1
1624,158200,-28.0
1626,158400,-23.45
1628,158600,-26.05
1630,158800,-24.5
1632,159000,-24.1
1634,159200,-18.75
1636,159400,-26.7
1638,159600,-32.55
1640,159800,-30.6
1642,160000,-29.3
1644,160200,-20.5
1646,160400,-40.35
1648,160600,-24.75
1650,160800,-26.7
1652,161000,-29.3
1654,161200,-23.45
1656,161400,-29.3
1658,161600,-31.25
1660,161800,-24.1
1662,162000,-28.0
1664,162200,-18.5
1666,162400,-28.0
1668,162600,-33.2
1671,162800,-22.4333
1673,163000,-26.05
1675,163200,-29.3
1677,163400,-35.8
1679,163600,-25.4
1681,163800,-24.1
1683,164000,-18.1
1685,164200,-28.65
1688,164400,-15.1
1690,164600,-29.3
1692,164800,-29.3
1694,165000,-31.9
1696,165200,-26.05
1698,165400,-33.2
1700,165600,-24.75
1702,165800,-28.65
1704,166000,-29.3
1706,166200,-27.35
1708,166400,-23.25
1710,166600,-24.1
1712,166800,-25.4
1714,167000,-21.3
1716,167200,-28.65
1718,167400,-30.6
1720,167600,-19.55
1722,167800,-27.35
1724,168000,-28.65
1727,168200,-21.1667
1729,168400,-33.85
1731,168600,-24.75
1733,168800,-24.1
1735,169000,-24.1
1737,169200,-25.4
1739,169400,-29.95
1741,169600,-29.3
1743,169800,-19.75
1745,170000,-29.3
1747,170200,-24.1
1749,170400,-37.75
1751,170600,-26.05
1753,170800,-30.6
1755,171000,-36.45
1757,171200,-35.15
1759,171400,-24.75
1761,171600,-21.5
1763,171800,-29.95
1765,172000,-18.25
1767,172200,-24.75
1769,172400,-29.95
1771,172600,-31.9
1773,172800,-26.05
1775,173000,-26.05
1777,173200,-22.8
1779,173400,-30.6
1781,173600,-29.3
1783,173800,-25.9
1785,174000,-26.7
1787,174200,-17.5
1789,174400,-28.65
1791,174600,-35.8
1793,174800,-23.45
1796,175000,-22.8
1798,175200,-24.1
1800,175400,-33.2
1802,175600,-28.65
1804,175800,-31.25
1806,176000,-9.05
1809,176200,-23.5
1811,176400,-27.35
1813,176600,-26.7
1815,176800,-29.95
1817,177000,-24.1
1819,177200,-29.95
1821,177400,-25.4
1823,177600,-29.3
1825,177800,-34.65
1827,178000,-32.55
1829,178200,-27.35
1831,178400,-23.45
1833,178600,-37.1
1835,178800,-26.05
1837,179000,-25.5
1839,179200,-21.5
1841,179400,-31.25
1843,179600,-33.2
1845,179800,-28.65
1847,180000,-35.15
1849,180200,-34.5
1851,180400,-23.45
1853,180600,-33.85
1855,180800,-34.5
1857,181000,-26.7
1859,181200,-27.35
1861,181400,-26.05
1863,181600,-31.9
1865,181800,-28.0
1867,182000,-29.3
1869,182200,-17.15
1871,182400,-22.8
1873,182600,-28.65
1875,182800,-26.05
1877,183000,-30.6
1879,183200,-25.4
1881,183400,-28.0
1883,183600,-30.6
1885,183800,-24.1
1887,184000,-19.55
1889,184200,-22.8
1891,184400,-29.95
1893,184600,-22.15
1895,184800,-25.4
1897,185000,-33.2
1899,185200,-25.4
1901,185400,-33.2
1903,185600,-31.9
1905,185800,-26.05
1907,186000,-33.85
1909,186200,-22.15
1911,186400,-25.3
1913,186600,-26.05
1915,186800,-18.9
1917,187000,-35.15
1919,187200,-24.75
1921,187400,-26.05
1924,187600,-11.9667
1926,187800,-27.35
1928,188000,-27.35
1930,188200,-29.3
1932,188400,-28.0
1934,188600,-24.7
1936,188800,-22.15
1938,189000,-26.05
1940,189200,-15.45
1942,189400,-22.35
1944,189600,-35.15
1946,189800,-31.25
1948,190000,-34.5
1950,190200,-23.45
1952,190400,-26.05
1954,190600,-22.15
1956,190800,-25.4
1958,191000,-31.25
1960,191200,-34.5
1963,191400,-31.3333
1965,191600,-28.0
1967,191800,-28.65
1969,192000,-26.05
1971,192200,-24.1
1973,192400,-26.7
1975,192600,-24.75
1977,192800,-16.45
1979,193000,-29.95
1981,193200,-33.85
1983,193400,-16.95
1985,193600,-28.65
1987,193800,-21.5
1989,194000,-29.3
1991,194200,-29.95
1994,194400,-23.5333
1996,194600,-25.4
1998,194800,-28.0
2000,195000,-19.85
2002,195200,-29.95
2005,195400,-16.1
2007,195600,-26.7
2009,195800,-28.0
2011,196000,-40.35
2013,196200,-26.7
2015,196400,-35.15
2017,196600,-35.8
2019,196800,-10.8
2021,197000,-26.7
2024,197200,-20.3333
2026,197400,-35.8
2028,197600,-29.95
2030,197800,-21.5
2032,198000,-31.9
2034,198200,-29.95
2036,198400,-28.0
2038,198600,-33.2
2040,198800,-30.6
2042,199000,-31.25
2044,199200,-29.95
2046,199400,-28.0
2048,199600,-29.3
2050,199800,-17.35
2052,200000,-38.4
2054,200200,-25.4
2056,200400,-26.7
2058,200600,-29.3
2060,200800,-24.75
2063,201000,-21.3667
2065,201200,-24.75
2067,201400,-22.95
2069,201600,-33.85
2071,201800,-29.3
2073,202000,-24.75
2075,202200,-22.15
2077,202400,-20.55
